seed,condition,combination,F,R,C,FR,RC,FC,FRC
23,baseline,R+C,1.0,0.6000000238418579,0.9916666746139526,0.7666666507720947,0.5166666507720947,0.5083333253860474,0.8333333134651184
23,baseline,F+C,1.0,0.6166666746139526,0.9916666746139526,0.7583333253860474,0.5166666507720947,0.5083333253860474,0.8333333134651184
23,baseline,F+R+C,1.0,0.6000000238418579,0.9916666746139526,0.7583333253860474,0.5166666507720947,0.5083333253860474,0.8333333134651184
23,depth2,F,1.0,0.5333333611488342,0.9833333492279053,0.7833333611488342,0.5,0.5083333253860474,0.824999988079071
23,depth2,R,0.9166666865348816,0.6000000238418579,0.9916666746139526,0.6333333253860474,0.5,0.49166667461395264,0.8166666626930237
23,depth2,C,0.7666666507720947,0.5916666388511658,1.0,0.550000011920929,0.5083333253860474,0.5083333253860474,0.8333333134651184
23,depth2,F+R,1.0,0.6416666507720947,0.925000011920929,0.7833333611488342,0.5083333253860474,0.4749999940395355,0.7916666865348816
23,depth2,R+C,1.0,0.6166666746139526,1.0,0.6416666507720947,0.5083333253860474,0.5,0.8333333134651184
23,depth2,F+C,1.0,0.6583333611488342,1.0,0.7250000238418579,0.5083333253860474,0.5,0.8333333134651184
23,depth2,F+R+C,1.0,0.6166666746139526,1.0,0.7583333253860474,0.5083333253860474,0.5,0.8333333134651184
23,depth3,F,1.0,0.6666666865348816,0.8916666507720947,0.7666666507720947,0.5249999761581421,0.5249999761581421,0.7083333134651184
23,depth3,R,1.0,0.6499999761581421,0.8666666746139526,0.625,0.5,0.5,0.7416666746139526
23,depth3,C,0.7916666865348816,0.625,1.0,0.75,0.5083333253860474,0.5083333253860474,0.8333333134651184
23,depth3,F+R,1.0,0.625,0.8166666626930237,0.7416666746139526,0.5166666507720947,0.5166666507720947,0.6833333373069763
23,depth3,R+C,1.0,0.625,1.0,0.6583333611488342,0.5083333253860474,0.5,0.8333333134651184
23,depth3,F+C,0.9833333492279053,0.6833333373069763,1.0,0.800000011920929,0.5083333253860474,0.5,0.8333333134651184
23,depth3,F+R+C,1.0,0.6333333253860474,1.0,0.7250000238418579,0.5083333253860474,0.5,0.8333333134651184
23,agg_sum,F,0.7749999761581421,0.550000011920929,0.8583333492279053,0.574999988079071,0.5,0.4833333194255829,0.7250000238418579
23,agg_sum,R,0.9666666388511658,0.6166666746139526,0.8833333253860474,0.625,0.5083333253860474,0.5,0.7749999761581421
23,agg_sum,C,0.7666666507720947,0.5666666626930237,1.0,0.7333333492279053,0.5166666507720947,0.5,0.8166666626930237
23,agg_sum,F+R,1.0,0.6166666746139526,0.8833333253860474,0.6416666507720947,0.5083333253860474,0.5,0.7583333253860474
23,agg_sum,R+C,1.0,0.6416666507720947,0.9916666746139526,0.699999988079071,0.5166666507720947,0.5,0.8166666626930237
23,agg_sum,F+C,0.9416666626930237,0.574999988079071,1.0,0.7083333134651184,0.5166666507720947,0.5,0.8166666626930237
23,agg_sum,F+R+C,1.0,0.625,0.9916666746139526,0.6916666626930237,0.5166666507720947,0.5,0.8166666626930237
23,agg_max,F,1.0,0.5166666507720947,0.9833333492279053,0.7833333611488342,0.49166667461395264,0.49166667461395264,0.800000011920929
23,agg_max,R,0.75,0.5083333253860474,0.9666666388511658,0.5166666507720947,0.5083333253860474,0.4749999940395355,0.8166666626930237
23,agg_max,C,0.9416666626930237,0.5416666865348816,1.0,0.625,0.5083333253860474,0.5083333253860474,0.8333333134651184
23,agg_max,F+R,1.0,0.5583333373069763,0.9833333492279053,0.75,0.5083333253860474,0.4833333194255829,0.8083333373069763
23,agg_max,R+C,0.9083333611488342,0.5916666388511658,1.0,0.6000000238418579,0.5083333253860474,0.5,0.8333333134651184
